,,,,,,,,,,,,,,,precipitation,temperature,dengue_incidence,temp_min,temp_max,deltemp,dengue_befor
27.5,27.9,0,20.07272727,36.01428571,15.94155844,0.831740146,1.1,,,,,,,,-0.705316928,-0.763729579,0,-0.414519474,1.24866057,1.39320893,-0.975409066
53.8,29.7,0.297431383,22.89230769,36.43181818,13.53951049,0.831740146,0.7,,,,,,,,-0.435958237,-0.953488336,2.97431383,0.435692969,1.435334095,0.590207755,-0.975409066
76.5,30.4,1.962613988,25.10454545,36.41666667,11.31212121,0.831740146,1.4,,,,,,,,-0.203469937,-0.621410512,19.62613988,1.102768132,1.428560045,-0.154405278,-0.975409066
15.2,29.9,3.507386914,25.28461538,35.15,9.865384615,0.831740146,0.9,,,,,,,,-0.831290765,-0.858608957,35.07386914,1.157066173,0.86224928,-0.638047241,-0.975409066
120.2,28.2,4.931611033,24.64,32.4952381,7.855238095,0.831740146,0.8,,,,,,,,0.244095645,-0.906048646,49.31611033,0.962689729,-0.324661436,-1.310036331,-0.975409066
143,28.2,6.588150943,24.38,32.77391304,8.393913043,0.831740146,0.8,,,,,,,,0.477608123,-0.906048646,65.88150943,0.884289683,-0.200069369,-1.129958071,-0.975409066
139.4,28.2,8.240963398,24.47619048,33.25833333,8.782142857,0.831740146,0.8,,,,,,,,0.440737732,-0.906048646,82.40963398,0.913294829,0.016508861,-1.000173402,-0.975409066
93.2,27.3,4.749988415,22.61666667,32.34782609,9.73115942,0.831740146,1.7,,,,,,,,-0.032432289,-0.479091444,47.49988415,0.352576551,-0.390567495,-0.68291853,-0.975409066
79.2,26.8,6.600358156,21.52608696,33.3826087,11.85652174,0.831740146,2.2,,,,,,,,-0.175817143,-0.241892998,66.00358156,0.023724629,0.072070819,0.027587037,-0.975409066
4.9,24.5,2.719526548,18.05714286,31.57037037,13.51322751,0.831740146,4.5,,,,,,,,-0.93678105,0.849219852,27.19526548,-1.022296054,-0.738158186,0.581421393,-0.975409066
34.2,21.6,0.404877501,13.96470588,29.8,15.83529412,3.319684016,7.4,,,,,,,,-0.636697033,2.224970837,4.04877501,-2.256323931,-1.529668552,1.357684921,-0.282821259
45.3,24.2,0.231289543,17.06521739,32.26521739,15.2,3.319684016,4.8,,,,,,,,-0.523013327,0.99153892,2.31289543,-1.32139991,-0.427500807,1.14530701,-0.282821259
0,29.4,0.057796686,21.49166667,36.5,15.00833333,3.319684016,0.4,,,,,,,,-0.98696575,-1.095807403,0.57796686,0.013345582,1.465817331,1.081233118,-0.282821259
17.7,32.4,0.231157219,25.31904762,39.03809524,13.71904762,3.319684016,3.4,,,,,,,,-0.805686326,0.327383271,2.31157219,1.167448824,2.600567848,0.65022676,-0.282821259
